gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
IGF2BP1,5.253791387172152,0.0016147691546123753,8482,IGF2BP1,0.030044615,0.32819638,0.16198868,10.42093455206286,3.03618205546448e-24,0.1070417715492661,0.1070417715492661,0.1070417715492661,10865,D_neither
PHF8,5.253576709380031,0.0016147031727239921,8483,PHF8,20.894966,24.582373,0.16665268,3.0763387102440354,0.0024849454414729,0.0719719240293493,0.0719719240293493,0.0719719240293493,13220,D_neither
LOC100507091,5.253520181313555,0.001614685798646609,8484,LOC100507091,0.06324357,0.11999319,-0.011280417,-0.9909292396914094,0.3220962703736756,-0.0113889102245638,0.0113889102245638,0.0113889102245638,19524,D_neither
PWWP2B,5.252801669811893,0.001614464961897561,8485,PWWP2B,15.372025,26.595001,0.64757967,11.688327904944485,2.94703510349464e-23,0.2465446964815871,0.2465446964815871,0.2465446964815871,4659,D_neither
ZNF280C,5.252486305323333,0.0016143680336392695,8486,ZNF280C,3.374709,3.4963455,-0.015265703,-0.3280399478144872,0.743337291855433,-0.0078299211786704,0.0078299211786704,0.0078299211786704,19943,D_neither
LCP1,5.25247767270457,0.0016143653803769918,8487,LCP1,98.70329,130.1028,0.17387152,2.060892403106561,0.0409203600101682,0.0449024697839484,0.0449024697839484,0.0449024697839484,15531,D_neither
PTPRH,5.252315186799856,0.0016143154398278424,8488,PTPRH,1.2625898,1.2450473,-0.2775368,-5.545799195665468,1.0091573705192083e-07,-0.1054845437321653,0.1054845437321653,0.1054845437321653,10967,D_neither
SNORD113-4,5.252261074141739,0.0016142988081337454,8489,SNORD113-4,0.35185906,0.9228158,-0.13391426,-2.452157800295208,0.0153830094154692,-0.0615652898216405,0.0615652898216405,0.0615652898216405,14036,D_neither
SNAPC1,5.25156213213917,0.001614083986131226,8490,SNAPC1,12.507771,10.308341,-0.29980493,-8.419388191693972,1.984614253522048e-14,-0.1811334168790269,0.1811334168790269,0.1811334168790269,7025,D_neither
ZNF341,5.25142312036189,0.0016140412604282932,8491,ZNF341,4.931044,6.6874504,0.3575182,10.147003800030738,1.2432660748418193e-18,0.2469327155578624,0.2469327155578624,0.2469327155578624,4648,D_neither
LATS1,5.2510257112983005,0.0016139191155142003,8492,LATS1,21.799654,14.768637,-0.6969559,-7.835939414915681,7.917213745996669e-13,-0.1847831353345544,0.1847831353345544,0.1847831353345544,6860,D_neither
FBXO46,5.250734338582938,0.0016138295612021635,8493,FBXO46,18.097214,29.654432,0.6592679,12.336431617279109,4.0833558259117946e-24,0.3167064572007555,0.3167064572007555,0.3167064572007555,2886,D_neither
UBQLN3,5.25064994869271,0.001613803623706428,8494,UBQLN3,0.013809554,0.045941982,0.012392303,1.7515981196879478,0.0802437260322863,0.0193399483462122,0.0193399483462122,0.0193399483462122,18480,D_neither
ARNTL,5.250576122602599,0.0016137809330275766,8495,ARNTL,16.07715,13.414398,-0.2667153,-4.248007638955665,3.898676290579459e-05,-0.1125611446789229,0.1125611446789229,0.1125611446789229,10548,D_neither
XIRP2,5.250574959218127,0.0016137805754577338,8496,XIRP2,11.238881,0.19254427,-0.08432106,-0.9198372438224268,0.3595992603830766,-0.0605658252676954,0.0605658252676954,0.0605658252676954,14111,D_neither
PPIL3,5.249988916216251,0.0016136004533148915,8497,PPIL3,34.835735,31.815123,-0.15168047,-2.969167234978732,0.0035033227256928,-0.0769365617270581,0.0769365617270581,0.0769365617270581,12851,D_neither
RPL3L,5.2491124440498265,0.0016133310668632948,8498,RPL3L,7.3134117,0.768,-0.116092324,-1.3315841326238496,0.1855787694021743,-0.067030529410942,0.067030529410942,0.067030529410942,13607,D_neither
ATP2C2,5.248830375601159,0.0016132443722466205,8499,ATP2C2,9.014593,18.875553,0.9416301,7.289160110998736,2.4104121848041397e-11,0.210134751114945,0.210134751114945,0.210134751114945,5844,D_neither
MIR4667,5.248352693157442,0.0016130975550589992,8500,MIR4667,0.11238584,0.07604967,-0.027914464,-0.8690386886193128,0.3864743650516877,-0.0304732418110813,0.0304732418110813,0.0304732418110813,17057,D_neither
P2RX6,5.248272461475568,0.0016130728956015587,8501,P2RX6,1.7443919,0.33636844,-0.8929163,-12.219527007729091,1.0190119781810144e-22,-0.4990827001111251,0.4990827001111251,0.4990827001111251,715,D_neither
PRPH2,5.248209098722214,0.0016130534208618655,8502,PRPH2,1.6104195,1.1664524,-0.38464987,-8.65552722320859,3.3881428967920464e-15,-0.1728866100111362,0.1728866100111362,0.1728866100111362,7413,D_neither
HIGD2B,5.247666420982801,0.0016128866271675748,8503,HIGD2B,0.101234145,0.15598428,0.06814057,4.924357996457357,2.31474624443271e-06,0.1277339630535852,0.1277339630535852,0.1277339630535852,9697,D_neither
YTHDF3,5.247474737567296,0.001612827712672499,8504,YTHDF3,55.88359,57.57405,-0.069787025,-1.5079802828965552,0.1333138326077699,-0.029323958330538,0.029323958330538,0.029323958330538,17195,D_neither
SUGP2,5.247134057154154,0.0016127230034858981,8505,SUGP2,33.881996,41.540985,0.24026728,4.485363017227912,1.4607896810729215e-05,0.1109874698108519,0.1109874698108519,0.1109874698108519,10641,D_neither
DOCK5,5.246248835243103,0.0016124509277730247,8506,DOCK5,7.8305125,8.242065,-0.064573765,-0.7973728012457529,0.426519162293751,-0.0196990528938078,0.0196990528938078,0.0196990528938078,18444,D_neither
DNASE2B,5.245800854132981,0.0016123132393828388,8507,DNASE2B,1.2744265,1.6173185,0.00410074,0.0471066131082212,0.962494144650164,0.0012271381485594,0.0012271381485594,0.0012271381485594,20732,D_neither
TAC4,5.245782424238458,0.001612307574897326,8508,TAC4,1.0850871,0.9438229,-0.22410607,-4.822152784549431,3.3536418158393784e-06,-0.1092373820289157,0.1092373820289157,0.1092373820289157,10745,D_neither
DPY19L2P4,5.245401948891069,0.0016121906346136762,8509,DPY19L2P4,2.0572197,3.0836039,-0.20328736,-2.300004271133838,0.0226829677925024,-0.0480082254982296,0.0480082254982296,0.0480082254982296,15232,D_neither
